airID,airline,airlinealias,IATA,ICAO,callsign,country,active
1351,British Antarctic Survey,\N,NA,BAN,PENGUIN,United Kingdom,N
1352,Bradly Air (Charter) Services,\N,NA,BAR,BRADLEY,Canada,N
1353,Bissau Airlines,\N,NA,BAU,AIR BISSAU,Guinea-Bissau,N
1354,Bay Aviation Ltd,\N,NA,BAV,BAY AIR,Bangladesh,N
1355,British Airways,\N,BA,BAW,SPEEDBIRD,United Kingdom,Y
1356,Best Aero Handling Ltd,\N,NA,BAX,NA,Russia,N
1357,Bayon Airlines,\N,NA,BAY,BAYON,Cambodia,N
1358,Bannert Air,\N,NA,BBA,BANAIR,Austria,N
1359,Biman Bangladesh Airlines,\N,BG,BBC,BANGLADESH,Bangladesh,Y
1360,Bluebird Cargo,\N,BF,BBD,BLUE CARGO,Iceland,N
1361,Beibars CJSC,\N,NA,BBS,BEIBARS,Kazakhstan,N
1362,Bravo Airlines,\N,NA,BBV,BRAVO EUROPE,Spain,N
1363,Blue Bird Aviation,\N,NA,BBZ,COBRA,Kenya,N
1364,BACH Flugbetriebsges,\N,B4,BCF,BACH,Austria,N
1365,Blue Islands,\N,NA,BCI,BLUE ISLAND,United Kingdom,N
1366,British Caribbean Airways,\N,NA,BCL,NA,United Kingdom,N
1367,British Charter,\N,NA,BCR,BACKER,United Kingdom,N
1368,BCT Aviation,\N,NA,BCT,BOBCAT,United Kingdom,N
1369,Business Aviation Center,\N,NA,BCV,BUSINESS AVIATION,Ukraine,N
1370,Blue Dart Aviation,\N,BZ,BDA,BLUE DART,India,N
1371,B&H Airlines,\N,JA,BON,Air Bosna,Bosnia and Herzegovina,N
1372,Bissau Discovery Flying Club,\N,NA,BDF,BISSAU DISCOVERY,Guinea-Bissau,N
1373,Belgian Army,\N,NA,AYB,BELGIAN ARMY,Belgium,N
1374,Badr Airlines,\N,NA,BDR,BADR AIR,Sudan,N
1375,Best Aviation Ltd,\N,NA,BEA,BEST AIR,Bangladesh,N
1376,Belgorod Aviation Enterprise,\N,NA,BED,BELOGORYE,Russia,N
1377,Bar Harbor Airlines,\N,NA,AJC,BAR HARBOR,United States,N
1378,Balear Express,\N,NA,BEF,BALEAR EXPRESS,Spain,N
1379,Bel Air Helicopters,\N,NA,BEH,BLUECOPTER,Denmark,N
1380,Berkut Air,\N,NA,BEK,BERKUT,Kazakhstan,N
1381,BETA - Brazilian Express Transportes Aereos,\N,NA,BET,BETA CARGO,Brazil,N
1382,Basler Flight Service,\N,NA,BFC,BASLER,United States,N
1383,Bear Flight,\N,NA,BFG,BEARFLIGHT,Sweden,N
1384,Buffalo Airways,\N,J4,BFL,BUFFALO,Canada,N
1385,Bombardier,\N,NA,BFO,BOMBARDIER,Canada,N
1386,Burkina Airlines,\N,NA,BFR,BURKLINES,Burkina Faso,N
1387,Business Flight Sweden,\N,NA,BFS,BUSINESS FLIGHT,Sweden,N
1388,Bahrain Defence Force,\N,NA,BFW,SUMMAN,Bahrain,N
1389,BH Air,\N,NA,BGH,BALKAN HOLIDAYS,Bulgaria,N
1390,British Gulf International,\N,NA,BGI,BRITISH GULF,S,N
1391,British Gulf International-Fez,\N,NA,BGK,GULF INTER,Kyrgyzstan,N
1392,Benin Golf Air,\N,A8,BGL,BENIN GOLF,Benin,N
1393,Bugulma Air Enterprise,\N,NA,BGM,BUGAVIA,Russia,N
1394,Budget Air Bangladesh,\N,NA,BGR,BUDGET AIR,Bangladesh,N
1395,Bergen Air Transport,\N,NA,BGT,BERGEN AIR,Norway,N
1396,Buddha Air,\N,NA,BHA,BUDDHA AIR,Nepal,N
1397,Balkh Airlines,\N,NA,BHI,SHARIF,Afghanistan,N
1398,Bristow Helicopters,\N,NA,BHL,BRISTOW,United Kingdom,N
1399,Bristow Helicopters Nigeria,\N,NA,BHN,BRISTOW HELICOPTERS,Nigeria,N
1400,Bhoja Airlines,\N,NA,BHO,BHOJA,Pakistan,N
1401,Belair Airlines,\N,4T,BHP,BELAIR,Switzerland,Y
1402,Bighorn Airways,\N,NA,BHR,BIGHORN AIR,United States,N
1403,Bahamasair,\N,UP,BHS,BAHAMAS,Bahamas,Y
1404,Bright Air,\N,NA,BHT,BRIGHTAIR,Netherlands,N
1405,Bringer Air Cargo Taxi Aereo,\N,E6,NA,NA,Brazil,N
1406,Balkan Bulgarian Airlines,\N,LZ,NA,NA,NA,Y
1407,BA Connect,\N,TH,NA,NA,United Kingdom,N
1408,Bosphorus European Airways,\N,NA,BHY,BOSPHORUS,Turkey,N
1409,Binair,\N,NA,BID,BINAIR,Germany,N
1410,Big Island Air,\N,NA,BIG,BIG ISLE,United States,N
1411,British International Helicopters,\N,BS,BIH,BRINTEL,United Kingdom,Y
1412,Billund Air Center,\N,NA,BIL,BILAIR,Denmark,N
1413,Boise Interagency Fire Center,\N,NA,BIN,BISON-AIR,United States,N
1414,Bird Leasing,\N,NA,BIR,BIRD AIR,United States,N
1415,Bizjet Ltd,\N,NA,BIZ,BIZZ,United Kingdom,N
1416,Baja Air,\N,NA,BJA,BAJA AIR,Mexico,N
1417,Baltic Jet Aircompany,\N,NA,BJC,BALTIC JET,Latvia,N
1418,Business Jet Solutions,\N,NA,BJS,SOLUTION,United States,N
1419,Bankair,\N,B4,BKA,BANKAIR,United States,N
1420,BF-Lento OY,\N,NA,BKF,BAKERFLIGHT,Finland,Y
1421,Barken International,\N,NA,BKJ,BARKEN JET,United States,N
1422,Bangkok Airways,\N,PG,BKP,BANGKOK AIR,Thailand,Y
1423,Bukovyna,\N,NA,BKV,BUKOVYNA,Ukraine,N
1424,Blue Bird Aviation,\N,NA,BLB,BLUEBIRD SUDAN,Sudan,N
1425,Bellesavia,\N,NA,BLC,BELLESAVIA,Belarus,N
1426,Blue Line,\N,NA,BLE,BLUE BERRY,France,N
1427,Blue1,\N,KF,BLF,BLUEFIN,Finland,Y
1428,Belgavia,\N,NA,BLG,BELGAVIA,Belgium,N
1429,Blue Horizon Travel Club,\N,NA,BLH,BLUE HORIZON,United States,N
1430,Blue Jet,\N,NA,BLJ,BLUEWAY,Spain,N
1431,Baltic Airlines,\N,NA,BLL,BALTIC AIRLINES,Russia,Y
1432,Blue Airways,\N,NA,BLM,BLUE ARMENIA,Armenia,N
1433,Bali International Air Service,\N,NA,BLN,BIAR,Indonesia,N
1434,Bearskin Lake Air Service,\N,JV,BLS,BEARSKIN,Canada,Y
1435,Baltic Aviation,\N,NA,BLT,BALTAIR,United States,N
1436,Bellview Airlines,\N,B3,BLV,BELLVIEW AIRLINES,Nigeria,Y
1437,bmi,bmi British Midland,BD,BMA,MIDLAND,United Kingdom,Y
1438,British Medical Charter,\N,NA,BMD,BRITISH MEDICAL,United Kingdom,N
1439,Briggs Marine Environmental Services,\N,NA,BME,BRIGGS,United Kingdom,N
1440,Bristow Masayu Helicopters,\N,NA,BMH,MASAYU,Indonesia,N
1441,bmibaby,\N,WW,BMI,BABY,United Kingdom,Y
1442,Bemidji Airlines,\N,CH,BMJ,BEMIDJI,United States,Y
1443,Bismillah Airlines,\N,5Z,BML,BISMILLAH,Bangladesh,N
1444,Bowman Aviation,\N,NA,BMN,BOWMAN,United States,N
1445,British Midland Regional,\N,NA,BMR,NA,United Kingdom,Y
1446,BMW,\N,NA,BMW,BMW-FLIGHT,Germany,N
1447,Banco de Mexico,\N,NA,BMX,BANXICO,Mexico,N
1448,Bond Offshore Helicopters,\N,NA,BND,BOND,United Kingdom,N
1449,Benina Air,\N,NA,BNE,BENINA AIR,Libya,N
1450,BN Group Limited,\N,NA,BNG,VECTIS,United Kingdom,N
1451,Blue Nile Ethiopia Trading,\N,NA,BNL,NILE TRADING,Ethiopia,N
1452,Bonair Aviation,\N,NA,BNR,BONAIR,Canada,N
1453,Bancstar - Valley National Corporation,\N,NA,BNS,BANCSTAR,United States,N
1454,Bentiu Air Transport,\N,NA,BNT,BENTIU AIR,Sudan,N
1455,Benane Aviation Corporation,\N,NA,BNV,BENANE,Mauritania,N
1456,British North West Airlines,\N,NA,BNW,BRITISH NORTH,United Kingdom,N
1457,Boniair,\N,NA,BOA,KUMANOVO,Macedonia,N
1458,Bond Air Services,\N,NA,BOD,UGABOND,Uganda,N
1459,Boeing,\N,NA,BOE,BOEING,United States,N
1460,Bordaire,\N,NA,BOF,BORDAIR,Canada,N
1461,Bookajet Limited,\N,NA,BOO,BOOKAJET,United Kingdom,N
1462,Bouraq Indonesia Airlines,\N,BO,BOU,BOURAQ,Indonesia,N
1463,Blue Panorama Airlines,\N,BV,BPA,BLUE PANOROMA,Italy,Y
1464,Berkhut ZK,\N,NA,BPK,VENERA,Kazakhstan,N
1465,Bundepolizei-Fliegertruppe,\N,NA,BPO,PIROL,Germany,N
1466,Budapest Aircraft Services/Manx2,\N,NA,BPS,BASE,Hungary,Y
1467,Bonus Aviation,\N,NA,BPT,BONUS,United Kingdom,N
1468,British Petroleum Exploration,\N,NA,BPX,NA,Colombia,N
1469,BRA-Transportes Aereos,\N,7R,BRB,BRA-TRANSPAEREOS,Brazil,N
1470,Brock Air Services,\N,NA,BRD,BROCK AIR,Canada,N
1471,Breeze Ltd,\N,NA,BRE,AVIABREEZE,Ukraine,N
1472,Bering Air,\N,8E,BRG,BERING AIR,United States,Y
1473,Briansk State Air Enterprise,\N,NA,BRK,BRIANSK-AVIA,Russia,N
1474,Branson Airlines,\N,NA,BRN,BRANSON,United States,N
1475,BASE Regional Airlines,\N,NA,BRO,COASTRIDER,Netherlands,N
1476,Brazilian Air Force,\N,NA,BRS,BRAZILIAN AIR FORCE,Brazil,Y
1477,British Regional Airlines,\N,NA,BRT,BRITISH,United Kingdom,N
1478,Belavia Belarusian Airlines,\N,B2,BRU,BELARUS AVIA,Belarus,Y
1479,Bravo Air Congo,\N,K6,BRV,BRAVO,Democratic Republic of the Congo,N
1480,Bright Aviation Services,\N,NA,BRW,BRIGHT SERVICES,Bulgaria,N
1481,Braniff International Airways,\N,BN,BNF,Braniff,United States,N
1482,Buffalo Express Airlines,\N,NA,BRX,BUFF EXPRESS,United States,N
1483,Burundayavia,\N,NA,BRY,BURAIR,Kazakhstan,N
1484,Bistair - Fez,\N,NA,BSC,BIG SHOT,Kyrgyzstan,N
1485,Blue Star Airlines,\N,NA,BSD,AIRLINES STAR,Mexico,N
1486,Brasair Transportes Aereos,\N,NA,BSI,BRASAIR,Brazil,N
1487,Blue Swann Aviation,\N,NA,BSJ,BLUE SWANN,United Kingdom,N
1488,Blue Sky Aviation,\N,NA,BSM,NA,Lebanon,N
1489,Bissau Aero Transporte,\N,NA,BSS,BISSAU AIRSYSTEM,Guinea-Bissau,N
1490,Best Air,\N,NA,BST,TUNCA,Turkey,N
1491,Blue Sky Airways,\N,NA,BSW,SKY BLUE,Czech Republic,N
1492,Big Sky Airlines,\N,GQ,BSY,BIG SKY,United States,N
1493,BAL Bashkirian Airlines,\N,V9,BTC,BASHKIRIAN,Russia,N
1494,Baltijas Helicopters,\N,NA,BTH,BALTIJAS HELICOPTERS,Latvia,N
1495,Baltyka,\N,NA,BTK,BALTYKA,Ukraine,N
1496,Baltia Air Lines,\N,NA,BTL,BALTIA FLIGHT,United States,N
1497,Botir-Avia,\N,NA,BTR,BOTIR-AVIA,Kyrgyzstan,N
1498,Business Express,\N,NA,GAA,BIZEX,United States,N
1499,BT-Slavuta,\N,NA,BTT,BEETEE-SLAVUTA,Ukraine,N
1500,Metro Batavia,\N,7P,BTV,BATAVIA,Indonesia,Y
1501,Bulgarian Air Charter,\N,NA,BUC,BULGARIAN CHARTER,Bulgaria,N
1502,Blue Airlines,\N,NA,BUL,BLUE AIRLINES,Democratic Republic of the Congo,N
1503,Buryat Airlines Aircompany,\N,NA,BUN,BURAL,Russia,N
1504,Buzz Stansted,\N,NA,BUZ,BUZZ,United Kingdom,N
1505,Buffalo Airways,\N,NA,BVA,BUFFALO AIR,United States,N
1506,Bulgarian Aeronautical Centre,\N,NA,BVC,BULGARIAN WINGS,Bulgaria,N
1507,Baron Aviation Services,\N,NA,BVN,SHOW-ME,United States,N
1508,Berjaya Air,\N,J8,BVT,BERJAYA,Malaysia,Y
1509,Bellview Airlines,\N,NA,BVU,Sierra Leone,NA,N
1510,Blue Wings,\N,QW,BWG,BLUE WINGS,Germany,Y
1511,Blue Wing Airlines,\N,NA,BWI,BLUE TAIL,Suriname,N
1512,BWA (2002) Ltd,\N,NA,BWL,BRITWORLD,United Kingdom,N
1513,Bahrain Executive Air Services,\N,NA,BXA,BEXAIR,Bahrain,N
1514,Bar XH Air,\N,NA,BXH,PALLISER,Canada,N
1515,Brussels International Airlines,\N,NA,BXI,XENIA,Belgium,N
1516,BAX Global,\N,8W,NA,NA,NA,N
1517,Redding Aero Enterprises,\N,NA,BXR,BOXER,United States,N
1518,Berry Aviation,\N,NA,BYA,BERRY,United States,N
1519,Bylina Joint-Stock Company,\N,NA,BYL,BYLINA,Russia,N
1520,Berytos Airlines,\N,NA,BYR,NA,Lebanon,N
1521,Bayu Indonesia Air,\N,BM,BYE,BAYU,Indonesia,N
1522,Bizair Fluggesellschaft,\N,NA,BZA,BERLIN BEAR,Germany,N
1523,Brit Air,\N,DB,BZH,BRITAIR,France,Y
1524,Butane Buzzard Aviation Corporation,\N,NA,BZZ,BUZZARD,United Kingdom,N
1525,Business Flight Salzburg,\N,NA,AUJ,AUSTROJET,Austria,N
1526,BKS Air (Rivaflecha),\N,NA,CKM,COSMOS,Spain,N
1527,Bristol Flying Centre,\N,NA,CLF,CLIFTON,United Kingdom,N
1528,Barnes Olsen Aeroleasing,\N,NA,CLN,SEELINE,United Kingdom,N
1529,Baltimore Air Transport,\N,NA,CPJ,CORPJET,United States,N
1530,Boston-Maine Airways,\N,E9,CXS,CLIPPER CONNECTION,United States,N
1531,Brussels Airlines,SN Brussels Airlines,SN,DAT,BEE-LINE,Belgium,Y
1532,Baltimore Airways,\N,NA,EAH,EASTERN,United States,N
1533,Bond Aviation,\N,NA,EBA,BOND AVIATION,Italy,N
1534,Brazilian Army Aviation,\N,NA,EXB,BRAZILIAN ARMY,Brazil,N
1535,Business Express Delivery,\N,NA,EXP,EXPRESS AIR,Canada,N
1536,Bel Limited,\N,NA,FOS,NA,Russia,N
1537,Bangkok Aviation Center,\N,NA,HAW,THAI HAWK,Thailand,N
1538,Benair,\N,NA,HAX,SCOOP,Norway,N
1539,Binter Canarias,\N,NT,IBB,NA,Spain,Y
1540,Bonyad Airlines,\N,NA,IRJ,BONYAD AIR,Iran,N
1541,Burundaiavia,\N,NA,IVR,RERUN,Kazakhstan,N
1542,Blue Air,\N,0B,JOR,BLUE TRANSPORT,Romania,Y
1543,British Mediterranean Airways,\N,KJ,LAJ,BEE MED,United Kingdom,Y
1544,Belle Air,\N,NA,LBY,ALBAN-BELLE,Albania,N
1545,Blom Geomatics,\N,NA,LED,SWEEPER,Norway,N
1546,Benin Littoral Airways,\N,NA,LTL,LITTORAL,Benin,N
1547,Bombardier Business Jet Solutions,\N,NA,LXJ,FLEXJET,United States,N
1548,Bulgaria Air,\N,FB,LZB,FLYING BULGARIA,Bulgaria,Y
1549,Brazilian Navy Aviation,\N,NA,MBR,BRAZILIAN NAVY,Brazil,N
1550,Barents AirLink,\N,8N,NKF,NORDFLIGHT,Sweden,Y
1551,Belgian Navy,\N,NA,NYB,BELGIAN NAVY,Belgium,N
1552,Bakoji Airlines Services,\N,NA,OGJ,BAKO AIR,Nigeria,N
1553,Benders Air,\N,NA,PEB,PALEMA,Sweden,N
1554,Balmoral Central Contracts,\N,NA,PNT,PORTNET,South Africa,N
1555,BGB Air,\N,NA,POI,BOJBAN,Kazakhstan,N
1556,Butte Aviation,\N,NA,PPS,PIPESTONE,United States,N
1557,Bond Air Services,\N,NA,RHD,RED HEAD,United Kingdom,N
1558,Business Airfreight,\N,NA,RLR,RATTLER,United States,N
1559,BAC Express Airlines,\N,NA,RPX,RAPEX,United Kingdom,N
1560,Boscombe Down DERA (Formation),\N,NA,RRS,BLACKBOX,United Kingdom,N
1561,Business Jet Sweden,\N,NA,SCJ,SCANJET,Sweden,N
1562,British Airways Shuttle,\N,NA,SHT,SHUTTLE,United Kingdom,N
1563,British Sky Broadcasting,\N,NA,SKH,SKYNEWS,United Kingdom,N
1564,Bell Helicopter Textron,\N,NA,TXB,TEXTRON,Canada,N
1565,Buzzaway Limited,\N,NA,UKA,UKAY,United Kingdom,N
1566,Biz Jet Charter,\N,NA,VLX,AVOLAR,United States,N
1567,Blue Chip Jet,\N,NA,VOL,BLUE SPEED,Sweden,N
1568,BAE Systems,\N,NA,WFD,AVRO,United Kingdom,N
1569,BAE Systems,\N,NA,WTN,TARNISH,United Kingdom,N
1570,Baseops International,\N,NA,XBO,NA,United States,N
1571,Bureau Veritas,\N,NA,XDA,NA,France,N
1572,British Airways,\N,NA,XMS,SANTA,United Kingdom,N
1573,Boskovic Air Charters Limited,\N,NA,ZBA,BOSKY,Kenya,N
1574,C Air Jet Airlines,\N,NA,SRJ,SYRJET,Syrian Arab Republic,N
1575,C N Air,\N,NA,ORO,CAPRI,Spain,N
1576,C and M Aviation,\N,NA,TIP,TRANSPAC,United States,N
1577,C&M Airways,\N,NA,RWG,RED WING,United States,N
1578,C.S.P.,\N,NA,RMU,Societe,AIR-MAUR,N
1579,CABI,\N,NA,CBI,CABI,Ukraine,N
1580,CAI,\N,NA,CPI,AIRCAI,Italy,N
1581,CAL Cargo Air Lines,\N,5C,ICL,CAL,Israel,Y
1582,CAM Air Management,\N,NA,CMR,CAMEO,United Kingdom,N
1583,CATA L,\N,NA,CTZ,CATA,Argentina,N
1584,CCF Manager Airline,\N,NA,CCF,TOMCAT,Germany,N
1585,CEDTA (Compania Ecuatoriana De Transportes Aereos),\N,NA,CED,CEDTA,Ecuador,N
1586,CHC Denmark,\N,NA,HBI,HELIBIRD,Denmark,N
1587,CHC Helicopters,\N,NA,HEM,HEMS,Australia,N
1588,CHC Airways,\N,AW,SCH,NA,Netherlands,N
1589,CHC Helikopter Service,\N,NA,HKS,HELIBUS,Norway,N
1590,CI-Tours,\N,NA,VCI,CI-TOURS,Ivory Coast,N
1591,CKC Services,\N,NA,CKC,NA,United States,N
1592,CM Stair,\N,NA,CMZ,CEE-EM STAIRS,Mauritania,N
1593,CNET,\N,NA,CNT,KNET,France,N
1594,COAPA AIR,\N,NA,OAP,COAPA,Mexico,N
1595,COMAV,\N,NA,PDR,SPEEDSTER,Namibia,N
1596,CRI Helicopters Mexico,\N,NA,CRH,HELI-MEX,Mexico,N
1597,CSA Air,\N,NA,IRO,IRON AIR,United States,N
1598,CSE Aviation,\N,NA,CSE,OXFORD,United Kingdom,N
1599,CTK Network Aviation,\N,NA,CTQ,CITYLINK,Ghana,N
1600,Cabair College of Air Training,\N,NA,CBR,CABAIR,United Kingdom,N
1601,Cabo Verde Express,\N,NA,CVE,KABEX,Cape Verde,N
1602,Caernarfon Airworld,\N,NA,CWD,AMBASSADOR,United Kingdom,N
1603,Cairo Air Transport Company,\N,NA,CCE,NA,Egypt,N
1604,Cal Gulf Aviation,\N,NA,CGC,CAL-GULF,Sao Tome and Principe,N
1605,Cal-West Aviation,\N,NA,REZ,CAL AIR,United States,N
1606,California Air Shuttle,\N,NA,CSL,CALIFORNIA SHUTTLE,United States,N
1607,Calima Aviacion,\N,XG,CLI,CALIMA,Spain,Y
1608,Calm Air,\N,MO,CAV,CALM AIR,Canada,N
1609,Camai Air,\N,R9,CAM,AIR CAMAI,United States,N
1610,Cambodia Airlines,\N,NA,KHM,CAMBODIA AIRLINES,Cambodia,N
1611,Cameroon Airlines,\N,UY,UYC,CAM-AIR,Cameroon,N
1612,Campania Helicopteros De Transporte,\N,NA,HSO,HELIASTURIAS,Spain,N
1613,CanJet,\N,C6,CJA,CANJET,Canada,N
1614,Canada Jet Charters,\N,NA,PIL,PINNACLE,Canada,N
1615,Canadian Airlines,\N,CP,CDN,CANADIAN,Canada,Y
1616,Canadian Coast Guard,\N,NA,CTG,CANADIAN COAST GUARD,Canada,N
1617,Canadian Eagle Aviation,\N,NA,HIA,HAIDA,Canada,N
1618,Canadian Forces,\N,NA,CFC,CANFORCE,Canada,N
1619,Canadian Global Air Ambulance,\N,NA,BZD,BLIZZARD,Canada,N
1620,Canadian Helicopters,\N,NA,CDN,CANADIAN,Canada,N
1621,Canadian Interagency Forest Fire Centre,\N,NA,TKR,TANKER,Canada,N
1622,Canadian National Telecommunications,\N,NA,XNC,NA,Canada,N
1623,Canadian North,\N,5T,MPE,EMPRESS,Canada,Y
1624,Canadian Regional Airlines,\N,NA,CDR,CANADIAN REGIONAL,Canada,N
1625,Canadian Warplane Heritage Museum,\N,NA,CWH,WARPLANE HERITAGE,Canada,N
1626,Canadian Western Airlines,\N,W2,CWA,CANADIAN WESTERN,Canada,N
1627,Canair,\N,NA,CWW,CANAIR,China,N
1628,Cancun Air,\N,NA,CUI,CAN-AIR,Mexico,N
1629,Cape Air,\N,9K,KAP,CAIR,United States,Y
1630,Cape Air Transport,\N,NA,CTO,NA,Australia,N
1631,Cape Central Airways,\N,NA,SEM,SEMO,United States,N
1632,Cape Smythe Air,\N,NA,CMY,CAPE SMYTHE AIR,United States,N
1633,Capital Air Service,\N,NA,CPX,CAPAIR,United States,N
1634,Capital Airlines,\N,NA,CPD,CAPITAL DELTA,Kenya,N
1635,Capital Airlines Limited,\N,NA,NCP,CAPITAL SHUTTLE,Nigeria,N
1636,Capital Cargo International Airlines,\N,PT,CCI,CAPPY,United States,N
1637,Capital City Air Carriers,\N,NA,CCQ,CAP CITY,United States,N
1638,Capital Trading Aviation,\N,NA,EGL,PRESTIGE,United Kingdom,N
1639,Capitol Air Express,\N,NA,CEX,CAPITOL EXPRESS,United States,N
1640,Capitol Wings Airline,\N,NA,CWZ,CAPWINGS,United States,N
1641,Caravan Air,\N,NA,VAN,CAMEL,Mauritania,N
1642,Cardiff Wales Flying Club,\N,NA,CWN,CAMBRIAN,United Kingdom,N
1643,Cardinal/Air Virginia,\N,NA,FVA,AIR VIRGINIA,United States,N
1644,Cardolaar,\N,NA,GOL,CARGOLAAR,Namibia,N
1645,Cards Air Services,\N,NA,CDI,CARDS,Philippines,N
1646,Care Flight,\N,NA,CFH,CARE FLIGHT,Australia,N
1647,Carga Aerea Dominicana,\N,NA,CDM,CARGA AEREA,Dominican Republic,N
1648,Carga Express Internacional,\N,NA,EST,CARGAINTER,Mexico,N
1649,Cargo 360,\N,GG,GGC,LONG-HAUL,United States,N
1650,Cargo Express,\N,NA,MCX,MAURICARGO,Mauritania,N
1651,Cargo Ivoire,\N,NA,CRV,CARGOIV,Ivory Coast,N
1652,Cargo Link (Caribbean),\N,NA,CLM,CARGO LINK,Barbados,N
1653,Cargo Three,\N,NA,CTW,THIRD CARGO,Panama,N
1654,Cargoitalia,\N,2G,CRG,WHITE PELICAN,Italy,N
1655,Cargojet Airways,\N,W8,CJT,CARGOJET,Canada,N
1656,Cargolux,\N,CV,CLX,CARGOLUX,Luxembourg,N
1657,Cargoman,\N,NA,CGM,HOTEL CHARLIE,Oman,N
1658,Carib Aviation,\N,NA,DEL,RED TAIL,Antigua and Barbuda,N
1659,Carib Express,\N,NA,BCB,WAVEBIRD,Barbados,N
1660,Caribair,\N,NA,CBC,CARIBAIR,Dominican Republic,N
1661,Caribbean Air Cargo,\N,NA,DCC,CARICARGO,Barbados,N
1662,Caribbean Air Transport,\N,NA,CLT,CARIBBEAN,Netherlands,N
1663,Caribbean Airlines,\N,BW,BWA,CARIBBEAN AIRLINES,Trinidad and Tobago,Y
1664,Caribbean Airways,\N,NA,IQQ,CARIBJET,Barbados,N
1665,Caribbean Express,\N,NA,TLC,CARIB-X,United States,N
1666,Caribbean Star Airlines,\N,8B,GFI,CARIB STAR,Antigua and Barbuda,N
1667,Caribintair,\N,NA,CRT,CARIBINTAIR,Haiti,N
1668,Carill Aviation,\N,NA,CVG,CARILL,United Kingdom,N
1669,Carpatair,\N,V3,KRP,CARPATAIR,Romania,Y
1670,Carranza,\N,NA,CRR,CARRANZA,Chile,N
1671,Carroll Air Service,\N,NA,ULS,ULSTER,United States,N
1672,Casement Aviation,\N,NA,CMT,CASEMENT,United States,N
1673,Casino Airline,\N,NA,CSO,CASAIR,United States,N
1674,Casper Air Service,\N,NA,CSP,CASPER AIR,United States,N
1675,Caspian Airlines,\N,RV,CPN,CASPIAN,Iran,Y
1676,Castle Aviation,\N,NA,CSJ,CASTLE,United States,N
1677,Cat Aviation,\N,NA,CAZ,EUROCAT,Switzerland,N
1678,Catalina Flying Boats,\N,NA,CBT,CATALINA AIR,United States,N
1679,Catex,\N,NA,TEX,CATEX,France,N
1680,Cathay Pacific,\N,CX,CPA,CATHAY,Hong Kong SAR of China,Y
1681,Caverton Helicopters,\N,NA,CJR,CAVERTON AIR,Nigeria,N
1682,Cayman Airways,\N,KX,CAY,CAYMAN,Cayman Islands,Y
1683,Cebu Pacific,\N,5J,CEB,CEBU AIR,Philippines,Y
1684,Cecil Aviation,\N,NA,CIL,CECIL,United Kingdom,N
1685,Cega Aviation,\N,NA,CEG,CEGA,United Kingdom,N
1686,Celtic Airways,\N,NA,CEC,CELTAIR,United Kingdom,N
1687,Celtic West,\N,NA,CWE,CELTIC,United Kingdom,N
1688,Centavia,\N,7N,CNA,NA,Serbia,N
1689,Cente D'Essais En Vol,\N,NA,CEV,CENTEV,France,N
1690,Centennial Airlines,\N,NA,CNL,WYO-AIR,United States,N
1691,Centennial Flight Centre,\N,NA,CNS,CENTENNIAL,Canada,N
1692,Center Vol,\N,NA,CVO,CENTERVOL,Spain,N
1693,Center-South,\N,NA,CTS,CENTER-SOUTH,Russia,N
1694,Centrafrican Airlines,\N,NA,CET,CENTRAFRICAIN,Central African Republic,N
1695,Central Air Express,\N,NA,CAX,CENTRAL EXPRESS,Democratic Republic of Congo,N
1696,Central Airlines,\N,NA,CTL,CENTRAL COMMUTER,United States,N
1697,Central Airways,\N,NA,CNY,CENTRAL LEONE,Sierra Leone,N
1698,Central American Airlines,\N,NA,ACN,AEROCENTRO,Nicaragua,N
1699,Central Aviation,\N,NA,YOG,YOGAN AIR,United States,N
1700,Central Connect Airlines,\N,NA,CCG,NA,Czech Republic,Y
1701,Central De Discos De Reynosa,\N,NA,DRN,DISCOS REYNOSA,Mexico,N
1702,Central European Airlines,\N,NA,CMA,EUROCENTRAL,Czech Republic,N
1703,Central Flying Service,\N,NA,CHA,CHARTER CENTRAL,United States,N
1704,Central Mongolia Airways,\N,NA,CEM,CENTRAL MONGOLIA,Mongolia,N
1705,Central Mountain Air,\N,NA,GLR,GLACIER,Canada,N
1706,Central Queensland Aviation College,\N,NA,CQC,NA,Australia,N
1707,Central Skyport,\N,NA,CSI,SKYPORT,United States,N
1708,Centralwings,\N,C0,CLW,CENTRALWINGS,Poland,Y
1709,Centre Airlines,\N,NA,DTV,DUTCH VALLEY,United States,N
1710,Centre of Applied Geodynamica,\N,NA,CGS,GEO CENTRE,Russia,N
1711,Centre-Avia,\N,J7,CVC,AVIACENTRE,Russia,N
1712,Centro De Helicopteros Corporativos,\N,NA,CCV,HELICORPORATIVO,Mexico,N
1713,Centro de Formacion Aeronautica de Canarias,\N,NA,ACF,FORCAN,Spain,N
1714,Centurion Air Cargo,\N,WE,CWC,CHALLENGE CARGO,United States,N
1715,Century Aviation,\N,NA,URY,CENTURY AVIA,Mexico,N
1716,Century Aviation International,\N,NA,HAI,NA,Canada,N
1717,Certified Air Dispatch,\N,NA,XAD,NA,United States,N
1718,Cetraca Aviation Service,\N,NA,CER,CETRACA,Democratic Republic of the Congo,N
1719,Chabahar Airlines,\N,NA,IRU,CHABAHAR,Iran,N
1720,Chalair Aviation,\N,NA,CLG,CHALLAIR,France,N
1721,Chalk's Ocean Airways,\N,OP,CHK,CHALKS,United States,N
